"filename", "language", "vue", "JavaScript", "Markdown", "TypeScript", "HTML", "JSON", "JSON with Comments", "SCSS", "CSS", "comment", "blank", "total"
"d:\term5\projectALL\CloudLX\CloudLX\.hbuilderx\launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, -19, 0, 0, -1, -1, -21
"d:\term5\projectALL\CloudLX\CloudLX\README.md", "Markdown", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\term5\projectALL\CloudLX\CloudLX\index.html", "HTML", 0, 0, 0, 0, -15, 0, 0, 0, 0, -4, 0, -19
"d:\term5\projectALL\CloudLX\CloudLX\lib\amap-wx.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31
"d:\term5\projectALL\CloudLX\CloudLX\package-lock.json", "JSON", 0, 0, 0, 0, 0, -10021, 0, 0, 0, 0, -1, -10022
"d:\term5\projectALL\CloudLX\CloudLX\package.json", "JSON", 0, 0, 0, 0, 0, -76, 0, 0, 0, 0, -1, -77
"d:\term5\projectALL\CloudLX\CloudLX\shims-uni.d.ts", "TypeScript", 0, 0, 0, -6, 0, 0, 0, 0, 0, -1, -4, -11
"d:\term5\projectALL\CloudLX\CloudLX\src\App.vue", "vue", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -22
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-activity.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, -5, -3, -39
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-map.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, -4, -3, -38
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-order.js", "JavaScript", 0, -43, 0, 0, 0, 0, 0, 0, 0, -5, -1, -49
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-parcel.js", "JavaScript", 0, -35, 0, 0, 0, 0, 0, 0, 0, -5, -7, -47
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-user.js", "JavaScript", 0, -185, 0, 0, 0, 0, 0, 0, 0, -25, -19, -229
"d:\term5\projectALL\CloudLX\CloudLX\src\api\request.js", "JavaScript", 0, -59, 0, 0, 0, 0, 0, 0, 0, -3, -4, -66
"d:\term5\projectALL\CloudLX\CloudLX\src\api\self-config.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, -2, 0, -8
"d:\term5\projectALL\CloudLX\CloudLX\src\colorui\animation.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -141, -6, -37, -184
"d:\term5\projectALL\CloudLX\CloudLX\src\colorui\components\cu-custom.vue", "vue", -62, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -66
"d:\term5\projectALL\CloudLX\CloudLX\src\colorui\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -921, -4, -302, -1227
"d:\term5\projectALL\CloudLX\CloudLX\src\colorui\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -3173, -99, -641, -3913
"d:\term5\projectALL\CloudLX\CloudLX\src\common\component\ParcelCard.vue", "vue", -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12
"d:\term5\projectALL\CloudLX\CloudLX\src\common\fonts\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, -9, -45
"d:\term5\projectALL\CloudLX\CloudLX\src\common\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\term5\projectALL\CloudLX\CloudLX\src\main.js", "JavaScript", 0, -12, 0, 0, 0, 0, 0, 0, 0, -2, -3, -17
"d:\term5\projectALL\CloudLX\CloudLX\src\manifest.json", "JSON", 0, 0, 0, 0, 0, -77, 0, 0, 0, -8, -1, -86
"d:\term5\projectALL\CloudLX\CloudLX\src\pages.json", "JSON", 0, 0, 0, 0, 0, -216, 0, 0, 0, -12, -7, -235
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\activity\activity.vue", "vue", 106, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 119
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\address\address-edit.vue", "vue", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\address\address.vue", "vue", 60, 0, 0, 0, 0, 0, 0, 0, 0, -9, 5, 56
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\delivery-detail\delivery-detail.vue", "vue", 356, 0, 0, 0, 0, 0, 0, 0, 0, 23, 42, 421
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\feedback\feedback.vue", "vue", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\home\home.vue", "vue", 272, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 306
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\idCard\idCard.vue", "vue", 104, 0, 0, 0, 0, 0, 0, 0, 0, -18, 13, 99
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\index\index.vue", "vue", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, -2, 13
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\message-detail\message-detail.vue", "vue", -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -25
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\messages\messages.vue", "vue", 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 55
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\mine\mine.vue", "vue", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\orders\orders.vue", "vue", 130, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 158
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\package\completedPackage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\package\deliveringPackage.vue", "vue", 229, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 263
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\review\review.vue", "vue", -12, 0, 0, 0, 0, 0, 0, 0, 0, -3, -8, -23
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\robotView\robotView.vue", "vue", 285, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38, 328
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\search\search.vue", "vue", 212, 0, 0, 0, 0, 0, 0, 0, 0, -5, 33, 240
