"filename", "language", "vue", "comment", "blank", "total"
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\activity\activity.vue", "vue", 1, 0, 2, 3
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\address\address-edit.vue", "vue", 26, 0, 3, 29
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\address\address.vue", "vue", -3, 3, 0, 0
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\delivery-detail\delivery-detail.vue", "vue", 16, 0, 2, 18
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\disclaimer\disclaimer.vue", "vue", -9, 9, 0, 0
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\discount\discount.vue", "vue", 3, 0, 0, 3
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\feedback\feedback.vue", "vue", 37, 0, 2, 39
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\home\home.vue", "vue", 6, 0, 3, 9
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\idCard\idCard.vue", "vue", -16, 0, -1, -17
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\message-detail\message-detail.vue", "vue", -3, 0, 0, -3
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\messages\messages.vue", "vue", -10, 0, -1, -11
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\orders\orders.vue", "vue", -1, 2, 0, 1
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\package\deliveringPackage.vue", "vue", -14, -4, -9, -27
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\package\pendingPackage.vue", "vue", -3, 3, 0, 0
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\search\search.vue", "vue", 31, 0, 0, 31
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\transaction-record\transaction-record.vue", "vue", 46, 0, 10, 56
"Total", "-", 107, 13, 11, 131
